iter	Passed	Remaining
405	7171	10491
406	7188	10474
407	7204	10453
408	7221	10434
409	7237	10415
410	7252	10394
411	7268	10372
412	7284	10353
413	7306	10342
414	7324	10324
415	7340	10304
416	7356	10284
417	7372	10265
418	7389	10245
419	7406	10228
420	7422	10207
421	7437	10186
422	7455	10169
423	7470	10148
424	7488	10130
425	7505	10112
426	7520	10091
427	7537	10073
428	7552	10052
429	7569	10033
430	7585	10013
431	7600	9993
432	7618	9976
433	7634	9956
434	7651	9938
435	7669	9920
436	7686	9902
437	7702	9883
438	7719	9864
439	7736	9845
440	7753	9827
441	7769	9808
442	7786	9789
443	7802	9771
444	7819	9752
445	7836	9734
446	7852	9715
447	7869	9696
448	7887	9679
449	7902	9659
450	7921	9642
451	7939	9625
452	7955	9606
453	7972	9587
454	7987	9567
455	8003	9548
456	8019	9529
457	8033	9507
458	8049	9487
459	8066	9469
460	8082	9449
461	8098	9430
462	8114	9411
463	8131	9393
464	8146	9373
465	8163	9354
466	8179	9335
467	8196	9317
468	8211	9296
469	8227	9278
470	8244	9260
471	8262	9242
472	8279	9224
473	8298	9208
474	8313	9189
475	8329	9169
476	8345	9150
477	8362	9131
478	8379	9114
479	8395	9095
480	8409	9073
481	8423	9052
482	8437	9031
483	8453	9012
484	8470	8994
485	8486	8975
486	8504	8958
487	8520	8940
488	8537	8921
489	8552	8901
490	8568	8882
491	8584	8863
492	8599	8844
493	8616	8825
494	8631	8806
495	8649	8788
496	8663	8768
497	8679	8748
498	8695	8730
499	8710	8710
500	8726	8692
501	8743	8673
502	8759	8655
503	8776	8637
504	8792	8617
505	8808	8599
506	8826	8582
507	8843	8564
508	8860	8546
509	8878	8529
510	8895	8512
511	8912	8494
512	8927	8474
513	8954	8466
514	8986	8463
515	9004	8445
516	9021	8428
517	9037	8409
518	9054	8391
519	9071	8373
520	9087	8355
521	9104	8336
522	9120	8318
523	9137	8300
524	9153	8281
525	9168	8262
526	9184	8243
527	9200	8225
528	9217	8207
529	9233	8187
530	9249	8169
531	9265	8151
532	9284	8134
533	9300	8116
534	9317	8098
535	9333	8080
536	9348	8060
537	9364	8041
538	9381	8023
539	9398	8006
540	9415	7988
541	9431	7969
542	9454	7956
543	9471	7939
544	9487	7921
545	9504	7902
546	9519	7883
547	9543	7871
548	9566	7858
549	9587	7844
550	9614	7834
551	9640	7824
552	9656	7805
553	9672	7786
554	9690	7769
555	9707	7752
556	9723	7733
557	9740	7715
558	9756	7697
559	9774	7679
560	9790	7661
561	9807	7643
562	9823	7625
563	9844	7610
564	9861	7592
565	9879	7575
566	9895	7557
567	9911	7538
568	9926	7519
569	9944	7501
570	9960	7483
571	9978	7466
572	9995	7448
573	10011	7430
574	10027	7411
575	10044	7393
576	10062	7376
577	10076	7357
578	10090	7337
579	10104	7317
580	10121	7299
581	10136	7280
582	10153	7262
583	10169	7243
584	10186	7226
585	10201	7207
586	10219	7190
587	10235	7171
588	10251	7153
589	10270	7136
590	10290	7121
591	10306	7103
592	10321	7084
593	10337	7065
594	10354	7047
595	10370	7029
596	10386	7011
597	10402	6993
598	10418	6974
599	10434	6956
600	10448	6936
601	10463	6917
602	10476	6897
603	10490	6877
604	10505	6858
605	10521	6840
606	10536	6821
607	10553	6804
608	10571	6787
609	10587	6769
610	10605	6751
611	10621	6733
612	10638	6716
613	10657	6700
614	10673	6681
615	10689	6663
616	10705	6645
617	10721	6626
618	10736	6608
619	10752	6590
620	10766	6570
621	10782	6552
622	10798	6534
623	10814	6516
624	10830	6498
625	10847	6480
626	10863	6462
627	10880	6445
628	10897	6427
629	10915	6410
630	10932	6392
631	10948	6375
632	10966	6358
633	10982	6340
634	10997	6321
635	11011	6302
636	11028	6284
637	11044	6266
638	11059	6248
639	11075	6230
640	11092	6212
641	11108	6194
642	11125	6176
643	11140	6158
644	11156	6140
645	11172	6122
646	11190	6105
647	11206	6087
648	11224	6070
649	11241	6053
650	11257	6035
651	11271	6016
652	11290	5999
653	11306	5981
654	11323	5964
655	11340	5946
656	11355	5928
657	11371	5910
658	11387	5892
659	11405	5875
660	11421	5857
661	11438	5840
662	11457	5823
663	11475	5806
664	11491	5788
665	11506	5770
666	11523	5753
667	11539	5735
668	11557	5718
669	11574	5701
670	11590	5683
671	11609	5666
672	11625	5648
673	11641	5630
674	11658	5613
675	11674	5595
676	11690	5577
677	11707	5560
678	11725	5543
679	11741	5525
680	11757	5507
681	11773	5489
682	11790	5472
683	11806	5454
684	11823	5437
685	11839	5419
686	11856	5401
687	11873	5384
688	11889	5366
689	11905	5349
690	11922	5331
691	11938	5313
692	11953	5295
693	11968	5277
694	11981	5258
695	11999	5241
696	12016	5223
697	12031	5205
698	12046	5187
699	12064	5170
700	12080	5152
701	12097	5135
702	12113	5117
703	12131	5100
704	12145	5082
705	12163	5065
706	12178	5047
707	12194	5029
708	12209	5011
709	12227	4994
710	12242	4976
711	12257	4958
712	12276	4941
713	12291	4923
714	12304	4904
715	12321	4887
716	12338	4870
717	12355	4852
718	12372	4835
719	12389	4817
720	12402	4799
721	12420	4782
722	12436	4764
723	12453	4747
724	12472	4730
725	12489	4713
726	12507	4696
727	12525	4679
728	12541	4662
729	12558	4644
730	12573	4626
731	12588	4608
732	12605	4591
733	12622	4574
734	12638	4556
735	12655	4539
736	12671	4521
737	12686	4503
738	12700	4485
739	12714	4467
740	12729	4449
741	12745	4431
742	12758	4413
743	12774	4395
744	12790	4377
745	12806	4360
746	12822	4342
747	12840	4325
748	12857	4308
749	12874	4291
750	12891	4274
751	12905	4256
752	12922	4238
753	12939	4221
754	12956	4204
755	12971	4186
756	12987	4169
757	13004	4151
758	13021	4134
759	13038	4117
760	13056	4100
761	13072	4083
762	13091	4066
763	13110	4049
764	13125	4032
765	13141	4014
766	13158	3997
767	13173	3979
768	13188	3961
769	13204	3944
770	13217	3925
771	13234	3908
772	13248	3890
773	13263	3872
774	13279	3855
775	13296	3838
776	13310	3820
777	13326	3802
778	13343	3785
779	13360	3768
780	13376	3750
781	13393	3733
782	13409	3716
783	13426	3699
784	13442	3681
785	13460	3664
786	13476	3647
787	13492	3629
788	13509	3612
789	13524	3595
790	13540	3577
791	13556	3560
792	13571	3542
793	13589	3525
794	13606	3508
795	13623	3491
796	13641	3474
797	13658	3457
798	13676	3440
799	13694	3423
800	13711	3406
801	13727	3389
802	13744	3372
803	13759	3354
804	13776	3337
805	13792	3319
806	13807	3302
807	13824	3285
808	13841	3267
809	13858	3250
810	13875	3233
811	13892	3216
812	13908	3199
813	13925	3181
814	13942	3164
815	13958	3147
816	13975	3130
817	13990	3112
818	14007	3095
819	14022	3078
820	14037	3060
821	14053	3043
822	14070	3026
823	14087	3008
824	14104	2991
825	14121	2974
826	14137	2957
827	14153	2940
828	14171	2923
829	14187	2905
830	14203	2888
831	14219	2871
832	14234	2853
833	14250	2836
834	14270	2819
835	14288	2802
836	14304	2785
837	14320	2768
838	14338	2751
839	14354	2734
840	14372	2717
841	14389	2700
842	14406	2683
843	14422	2665
844	14439	2648
845	14457	2631
846	14475	2614
847	14493	2597
848	14511	2580
849	14527	2563
850	14546	2546
851	14562	2529
852	14578	2512
853	14592	2494
854	14609	2477
855	14626	2460
856	14642	2443
857	14658	2425
858	14673	2408
859	14688	2391
860	14701	2373
861	14715	2355
862	14731	2338
863	14747	2321
864	14761	2303
865	14778	2286
866	14790	2268
867	14806	2251
868	14821	2234
869	14838	2217
870	14855	2200
871	14870	2182
872	14887	2165
873	14904	2148
874	14920	2131
875	14938	2114
876	14955	2097
877	14972	2080
878	14988	2063
879	15006	2046
880	15024	2029
881	15040	2012
882	15057	1995
883	15075	1978
884	15093	1961
885	15109	1944
886	15122	1926
887	15138	1909
888	15154	1892
889	15169	1874
890	15185	1857
891	15199	1840
892	15214	1823
893	15232	1806
894	15248	1788
895	15268	1772
896	15282	1754
897	15300	1737
898	15316	1720
899	15333	1703
900	15346	1686
901	15361	1668
902	15377	1651
903	15394	1634
904	15410	1617
905	15424	1600
906	15440	1583
907	15457	1566
908	15473	1549
909	15489	1531
910	15505	1514
911	15520	1497
912	15535	1480
913	15552	1463
914	15570	1446
915	15586	1429
916	15603	1412
917	15620	1395
918	15637	1378
919	15653	1361
920	15667	1343
921	15682	1326
922	15698	1309
923	15713	1292
924	15727	1275
925	15743	1258
926	15756	1240
927	15770	1223
928	15785	1206
929	15801	1189
930	15817	1172
931	15834	1155
932	15851	1138
933	15867	1121
934	15884	1104
935	15902	1087
936	15917	1070
937	15934	1053
938	15950	1036
939	15965	1019
940	15980	1001
941	15995	984
942	16011	967
943	16026	950
944	16043	933
945	16060	916
946	16074	899
947	16090	882
948	16105	865
949	16122	848
950	16139	831
951	16155	814
952	16172	797
953	16186	780
954	16202	763
955	16218	746
956	16235	729
957	16252	712
958	16268	695
959	16284	678
960	16301	661
961	16315	644
962	16330	627
963	16348	610
964	16364	593
965	16379	576
966	16396	559
967	16413	542
968	16431	525
969	16447	508
970	16463	491
971	16480	474
972	16497	457
973	16513	440
974	16530	423
975	16548	406
976	16564	389
977	16581	373
978	16597	356
979	16613	339
980	16631	322
981	16647	305
982	16663	288
983	16682	271
984	16698	254
985	16714	237
986	16728	220
987	16745	203
988	16762	186
989	16780	169
990	16796	152
991	16813	135
992	16830	118
993	16848	101
994	16864	84
995	16879	67
996	16897	50
997	16912	33
998	16930	16
999	16947	0
