iter	Logloss
0	0.5993742972
1	0.4988601152
2	0.4443813658
3	0.3908419648
4	0.3518815151
5	0.3229821935
6	0.3025202578
7	0.2793276877
8	0.2594973555
9	0.2475170242
10	0.2277961975
11	0.2189219438
12	0.2109279585
13	0.2051620378
14	0.200940993
15	0.1953344376
16	0.1906893939
17	0.1851892802
18	0.1789617629
19	0.1738939157
20	0.171489739
21	0.1675291257
22	0.1650381026
23	0.1631448551
24	0.1612648517
25	0.159686652
26	0.157836402
27	0.1550159054
28	0.1530416563
29	0.1515512617
30	0.1495353069
31	0.1484758224
32	0.1477538152
33	0.1463929671
34	0.1452884809
35	0.1440991303
36	0.142044558
37	0.1404891058
38	0.1397650509
39	0.1390312895
40	0.137650126
41	0.1368836664
42	0.136085052
43	0.1355188417
44	0.1348871921
45	0.1338628489
46	0.1333336909
47	0.1327208275
48	0.1323290084
49	0.1312877889
50	0.1307778817
51	0.1295849938
52	0.128974477
53	0.1283219751
54	0.1274963178
55	0.127030698
56	0.1265430615
57	0.1262582589
58	0.1255933746
59	0.1252713795
60	0.1247577031
61	0.1235195127
62	0.1231412173
63	0.1227729147
64	0.1225247668
65	0.1218580954
66	0.1214081445
67	0.1210355037
68	0.1202005223
69	0.1200053543
70	0.1195939584
71	0.1192480155
72	0.1189097878
73	0.1186146897
74	0.1181836323
75	0.1177453523
76	0.1172777477
77	0.1170640341
78	0.1167676314
79	0.1158120074
80	0.1155483236
81	0.1153207684
82	0.1151383552
83	0.1148790373
84	0.1144440081
85	0.1133008138
86	0.1129874771
87	0.1127680796
88	0.112149281
89	0.1114986115
90	0.1113130752
91	0.1111042782
92	0.1105850456
93	0.1103363331
94	0.1100065554
95	0.1098218745
96	0.1097775839
97	0.109496795
98	0.1092112893
99	0.1090990645
100	0.1088302036
101	0.1085683847
102	0.1081177193
103	0.1078760283
104	0.1076667226
105	0.1075111444
106	0.1073523212
107	0.1072138232
108	0.106997864
109	0.1068728297
110	0.1063551916
111	0.1062226958
112	0.1059745097
113	0.1059278958
114	0.1057401434
115	0.1055734064
116	0.1052111798
117	0.1050540843
118	0.1049401515
119	0.1047285843
120	0.1045812901
121	0.1045339711
122	0.1041059912
123	0.1039897119
124	0.1037539818
125	0.1036127822
126	0.1031939577
127	0.1029211746
128	0.1028318788
129	0.1025870079
130	0.1023595866
131	0.1019249792
132	0.1018314787
133	0.1018011119
134	0.1015418025
135	0.1012951481
136	0.1011899965
137	0.1009627598
138	0.100700266
139	0.1006221533
140	0.1004441234
141	0.1003670621
142	0.1002916473
143	0.1002409933
144	0.1001669546
145	0.100032963
146	0.09993591642
147	0.09982965202
148	0.09959379727
149	0.09948446149
150	0.09942692431
151	0.09936358741
152	0.09932261744
153	0.09894104804
154	0.09888011103
155	0.09881916954
156	0.09867489579
157	0.09853179589
158	0.09838336853
159	0.09835086679
160	0.09828131398
161	0.09819019708
162	0.0980145987
163	0.09797166323
164	0.09793619494
165	0.0978576415
166	0.09764146323
167	0.09747507189
168	0.09736529344
169	0.09728657539
170	0.09716143048
171	0.09705895629
172	0.09691789783
173	0.09681596184
174	0.09666285444
175	0.09656875731
176	0.0963732913
177	0.09630362166
178	0.09624605464
179	0.09611944768
180	0.0960348388
181	0.09590440655
182	0.09581313791
183	0.09569802957
184	0.0956367363
185	0.0955597989
186	0.0954723676
187	0.0954425695
188	0.0953415244
189	0.09526782571
190	0.09519210155
191	0.09507916709
192	0.09503223278
193	0.09498811208
194	0.094866754
195	0.09476721126
196	0.09471133149
197	0.09460963315
198	0.09447316944
199	0.09438985583
200	0.09430437166
201	0.09426928518
202	0.0941772047
203	0.09409452224
204	0.09401070403
205	0.09397865733
206	0.09393997299
207	0.09389580779
208	0.09385307707
209	0.09374271438
210	0.09366814433
211	0.09360322476
212	0.09355990473
213	0.09343338736
214	0.09338028788
215	0.09331963081
216	0.0931407606
217	0.09301723116
218	0.09291471179
219	0.09277824075
220	0.09264969977
221	0.09253478113
222	0.09242853425
223	0.092150947
224	0.09211085691
225	0.09203449575
226	0.09196236504
227	0.0918999762
228	0.09180523893
229	0.09174271866
230	0.09161439412
231	0.09155470227
232	0.09147258235
233	0.09139189841
234	0.09129771138
235	0.09120434309
236	0.09112440214
237	0.09104588802
238	0.09095255656
239	0.09089327014
240	0.09075881083
241	0.09066535232
242	0.0905627543
243	0.09049559347
244	0.09043553175
245	0.09035786613
246	0.09031317615
247	0.09024555836
248	0.09016021107
249	0.09010931055
250	0.09000905615
251	0.08992977761
252	0.08991244196
253	0.08984915469
254	0.08976227536
255	0.0896731488
256	0.08962464922
257	0.08951992202
258	0.08944659022
259	0.08942291548
260	0.08929995782
261	0.08924563673
262	0.08923419675
263	0.08921015618
264	0.08916555947
265	0.08913000194
266	0.08906108073
267	0.08903710525
268	0.08895401513
269	0.08891472912
270	0.08883953582
271	0.08874535362
272	0.08866656621
273	0.08858543093
274	0.08851879852
275	0.08847178732
276	0.08841531367
277	0.08832945691
278	0.08828941447
279	0.08822169512
280	0.08815166716
281	0.08810308253
282	0.08805700491
283	0.0880338893
284	0.08798683337
285	0.08794698375
286	0.08791304803
287	0.08786559578
288	0.08785335774
289	0.087826037
290	0.08772225931
291	0.08766774438
292	0.08762982299
293	0.08758362798
294	0.08755238347
295	0.0874748286
296	0.08741694689
297	0.087387294
298	0.08735580272
299	0.08729397594
300	0.08724368842
301	0.08721084986
302	0.08715205756
303	0.08710702802
304	0.08705242836
305	0.08700757346
306	0.08696881538
307	0.08693414604
308	0.08686443652
309	0.08681724745
310	0.08677640572
311	0.08670427139
312	0.08660205439
313	0.08655579123
314	0.08651047787
315	0.08645239002
316	0.08638087424
317	0.08634628214
318	0.08629278846
319	0.08625485109
320	0.08620218805
321	0.08616953666
322	0.08612255919
323	0.08611279723
324	0.08607689869
325	0.08605226917
326	0.08602206542
327	0.08600268055
328	0.08595353512
329	0.0858570652
330	0.08582250757
331	0.08579934347
332	0.08577145461
333	0.08571854932
334	0.0856724383
335	0.08561054675
336	0.08552930145
337	0.08542938023
338	0.0853879455
339	0.0853122476
340	0.08526278668
341	0.08521775013
342	0.08516697342
343	0.08511604586
344	0.08503260763
345	0.08497817265
346	0.08492008121
347	0.0848620698
348	0.08483486231
349	0.08481031099
350	0.0847869469
351	0.08476848413
352	0.08473946894
353	0.08469534414
354	0.0846861148
355	0.08460907738
356	0.08458983667
357	0.08457942439
358	0.08454630016
359	0.08449911112
360	0.08446005937
361	0.08444429556
362	0.08441988898
363	0.08439867585
364	0.08436158106
365	0.08432368969
366	0.08427986043
367	0.08422121122
368	0.08418733196
369	0.08411301294
370	0.08407423786
371	0.08401013173
372	0.08394527184
373	0.08390202785
374	0.08383267021
375	0.08376388264
376	0.08372745269
377	0.08368117058
378	0.08354414138
379	0.08350220766
380	0.08346592329
381	0.0834416171
382	0.08341387292
383	0.08333791897
384	0.08330216492
385	0.0832603546
386	0.08320229984
387	0.08313344292
388	0.08309143022
389	0.08304848081
390	0.08301405
391	0.08296552718
392	0.08294450137
393	0.08288184876
394	0.08280747051
395	0.08275141806
396	0.08267324402
397	0.08263511447
398	0.08261002032
399	0.08254266034
400	0.08250363875
401	0.08246026189
402	0.08243598283
403	0.08230108417
404	0.08226777874
405	0.08222381253
406	0.08218664492
407	0.08216775993
408	0.08211175321
409	0.08208772399
410	0.08204386442
411	0.08202839042
412	0.08194756213
413	0.08190359725
414	0.08185642916
415	0.08181104659
416	0.08178833088
417	0.08174099769
418	0.08171274219
419	0.08167771355
420	0.08164418246
421	0.08162267784
422	0.08160221931
423	0.08158330313
424	0.08155373863
425	0.08149487304
426	0.08147729804
427	0.08145272294
428	0.08142574628
429	0.08139543396
430	0.08135483333
431	0.08133314201
432	0.08129365501
433	0.08127359329
434	0.0812333249
435	0.08119628386
436	0.08115910405
437	0.08111699014
438	0.0810821162
439	0.08100901591
440	0.08096333826
441	0.0809120568
442	0.08088747876
443	0.08084071749
444	0.08080754721
445	0.08076664991
446	0.08072105609
447	0.08068713971
448	0.08064922013
449	0.08062287476
450	0.08056829385
451	0.08050731406
452	0.08046378236
453	0.08043178345
454	0.08040149026
455	0.08037138471
456	0.08036009939
457	0.08033691016
458	0.08030660456
459	0.0802615132
460	0.08021560972
461	0.08018356259
462	0.08012189134
463	0.08010398136
464	0.08006796782
465	0.08002638373
466	0.07996927935
467	0.07992895784
468	0.07990587014
469	0.07987611952
470	0.07980306653
471	0.07976317467
472	0.07970409526
473	0.07968574898
474	0.0796604097
475	0.07963048113
476	0.07957196568
477	0.07954346065
478	0.07951274235
479	0.07948008728
480	0.07946738838
481	0.07946470215
482	0.07945381778
483	0.07942664369
484	0.07939746378
485	0.07937962621
486	0.07934802323
487	0.0792845467
488	0.07922406856
489	0.07921010714
490	0.07917433287
491	0.07913935167
492	0.07911736633
493	0.07909069472
494	0.0790607646
495	0.07902126293
496	0.07900512898
497	0.07898918729
498	0.07897528962
499	0.07896135636
500	0.07893019576
501	0.07890295745
502	0.07886834961
503	0.07883618396
504	0.07882047349
505	0.07879000038
506	0.07874441217
507	0.07870318155
508	0.07867260226
509	0.07865465811
510	0.07863165455
511	0.07861648396
512	0.07860536888
513	0.07857423589
514	0.07852899103
515	0.07850917809
516	0.07846254152
517	0.0784262561
518	0.07838194267
519	0.07836576677
520	0.07832552228
521	0.07829750505
522	0.07825885311
523	0.0782149071
524	0.0781871711
525	0.0781537139
526	0.077992868
527	0.0779621899
528	0.07793241769
529	0.07791603966
530	0.07788707507
531	0.07784531419
532	0.07781746835
533	0.07777745249
534	0.07775902684
535	0.0777231309
536	0.07768966283
537	0.07765511991
538	0.07760523248
539	0.07756023962
540	0.0775215727
541	0.07750830369
542	0.07746583788
543	0.07743636446
544	0.0774189243
545	0.07740003547
546	0.0773552179
547	0.0773359055
548	0.07731159623
549	0.07727808168
550	0.07722598559
551	0.07718482321
552	0.07716600795
553	0.07715460671
554	0.07713792328
555	0.07709369358
556	0.07706030544
557	0.07703368035
558	0.07699934424
559	0.0769653842
560	0.07694364065
561	0.07690265124
562	0.07689390502
563	0.07686108031
564	0.07683526415
565	0.07679721538
566	0.07677151526
567	0.07675127189
568	0.07673152193
569	0.0766988237
570	0.07667808818
571	0.076632053
572	0.07661375854
573	0.07658554605
574	0.07653623829
575	0.07651111698
576	0.07648873889
577	0.07648181872
578	0.07647508495
579	0.07646635897
580	0.0764466994
581	0.0764319454
582	0.07640869382
583	0.07637646239
584	0.07634828719
585	0.07633492841
586	0.0762914562
587	0.07626094665
588	0.07622058492
589	0.07619855944
590	0.07615133707
591	0.07611781085
592	0.07611032303
593	0.07609752604
594	0.07605636833
595	0.07601026694
596	0.07598986735
597	0.07596768948
598	0.07593890688
599	0.07590068433
600	0.07588241598
601	0.07587577642
602	0.07586629087
603	0.07586071363
604	0.07585476284
605	0.07581263309
606	0.07580050692
607	0.07575982175
608	0.07573547876
609	0.07570235605
610	0.07567245862
611	0.07564114888
612	0.07559161192
613	0.07555414255
614	0.07550524858
615	0.0754731687
616	0.07544766085
617	0.07540112856
618	0.07538232863
619	0.07536019682
620	0.07535327465
621	0.07531560128
622	0.0752688126
623	0.07525657963
624	0.0752288524
625	0.07518570562
626	0.07516995466
627	0.07513028554
628	0.07509572647
629	0.07502858786
630	0.07500037793
631	0.0749638714
632	0.07492546006
633	0.07490227299
634	0.07489014404
635	0.07488428761
636	0.07484894103
637	0.07481084371
638	0.07479531937
639	0.07477322025
640	0.07474859152
641	0.07472159772
642	0.07467258292
643	0.07465984347
644	0.07463279309
645	0.07461068748
646	0.07452984924
647	0.0744940031
648	0.07447218839
649	0.07444526846
650	0.07436440275
651	0.0743598362
652	0.07433801603
653	0.07431677779
654	0.07429392349
655	0.07427004415
656	0.07425081523
657	0.07424311204
658	0.074184832
659	0.07416242395
660	0.07412698403
661	0.07409757434
662	0.07407017642
663	0.07404094871
664	0.07401404156
665	0.07400256864
666	0.07396687209
667	0.07393597585
668	0.07391235148
669	0.07387180234
670	0.07380425223
671	0.07374300376
672	0.07372624059
673	0.0737038897
674	0.07368062528
675	0.07365221298
676	0.07361591358
677	0.07360084475
678	0.07357334468
679	0.07354807565
680	0.07353024936
681	0.07351276881
682	0.07348735987
683	0.07347180805
684	0.07344840223
685	0.07342799805
686	0.07341959941
687	0.07339748348
688	0.07337054675
689	0.07334859439
690	0.07332812935
691	0.07328483675
692	0.07324942664
693	0.07324047031
694	0.07323501635
695	0.07321811943
696	0.07317782074
697	0.07316871766
698	0.07316513721
699	0.07313279201
700	0.07312181527
701	0.07309972447
702	0.0730331935
703	0.07298963726
704	0.07298457816
705	0.07295978063
706	0.07292977621
707	0.07291614018
708	0.07289475519
709	0.07286716637
710	0.07285972243
711	0.0728420757
712	0.07282643425
713	0.07281836296
714	0.07281052954
715	0.07278165457
716	0.07275524978
717	0.07274263036
718	0.07271897952
719	0.07268933295
720	0.0726822787
721	0.07264565126
722	0.07261530125
723	0.07257581595
724	0.07252926978
725	0.07250423055
726	0.07248595538
727	0.07246177765
728	0.07244284839
729	0.07241804195
730	0.07240457493
731	0.07238909925
732	0.07235644138
733	0.07230990413
734	0.07227872391
735	0.0722467994
736	0.07223460349
737	0.07218974922
738	0.07217951534
739	0.07217481028
740	0.07215862878
741	0.07214592051
742	0.07213826046
743	0.07211760039
744	0.07210032377
745	0.07205045015
746	0.07203265597
747	0.07201233251
748	0.0719937619
749	0.07197640169
750	0.0719439329
751	0.07193179293
752	0.07191024079
753	0.0718914079
754	0.07185916505
755	0.07183849338
756	0.07178114707
757	0.07173365161
758	0.07170290372
759	0.07167030118
760	0.07164910603
761	0.07163645995
762	0.07160308724
763	0.07157627848
764	0.07155718146
765	0.07153243139
766	0.07150151228
767	0.071456493
768	0.07144096396
769	0.07141903628
770	0.07141440843
771	0.07137861234
772	0.07136922129
773	0.07136206455
774	0.07133391901
775	0.07132191422
776	0.07131222377
777	0.07123164173
778	0.07119879736
779	0.07116153346
780	0.07113476111
781	0.07110776681
782	0.07108845365
783	0.07106243167
784	0.07104045519
785	0.07099123515
786	0.07097126654
787	0.07094245745
788	0.07091326121
789	0.07089565694
790	0.07087632542
791	0.07086068859
792	0.07084830378
793	0.07080085117
794	0.07076423305
795	0.07072178327
796	0.07069816639
797	0.07067774325
798	0.0706624514
799	0.07064140549
800	0.07061767257
801	0.07059536115
802	0.07054891904
803	0.0705353359
804	0.07051845069
805	0.07049829864
806	0.07048823469
807	0.07045712175
808	0.07044008305
809	0.07039840802
810	0.07034255402
811	0.07031722168
812	0.07029841619
813	0.07028180564
814	0.07025341173
815	0.07023811383
816	0.07020505376
817	0.07018532997
818	0.07016806983
819	0.07014579715
820	0.07013926453
821	0.07009031198
822	0.07006683888
823	0.07004393246
824	0.07001919538
825	0.06997958051
826	0.06994411968
827	0.06991596198
828	0.06988481752
829	0.06986713415
830	0.06984978429
831	0.06982039371
832	0.06980233091
833	0.06977642426
834	0.06974718662
835	0.06972846126
836	0.06969868326
837	0.06967757972
838	0.06965399831
839	0.06962325966
840	0.06960664221
841	0.06959117821
842	0.06957084208
843	0.06956366404
844	0.06954711902
845	0.06952363954
846	0.06949772831
847	0.06946503046
848	0.06943859733
849	0.06941748416
